,cross_val_acc,training_acc,test_acc,train_size,n_neighbors
0,0.7736230531626888,1.0,0.7783035401331931,13314,1
1,0.7717418243639316,1.0,0.7765509989484752,11982,1
2,0.7722273057376213,1.0,0.7762004907115317,10651,1
3,0.7714346927632989,1.0,0.7746232036452857,9319,1
4,0.7637722278160985,1.0,0.7667367683140554,7988,1
5,0.7554464153289729,1.0,0.7698913424465474,6657,1
6,0.7492881945237799,1.0,0.7644584647739222,5325,1
7,0.7351015037593985,1.0,0.7544689800210305,3994,1
8,0.7306570836095869,1.0,0.7472835611636873,2662,1
9,0.7303061023344879,1.0,0.7381703470031545,1331,1
10,0.7821843186748081,0.8710380051074057,0.786540483701367,13314,2
11,0.7795864945885622,0.8691370388916708,0.7854889589905363,11982,2
12,0.7782367844027799,0.868463055112196,0.784086926042762,10651,2
13,0.7756195300855373,0.8698358192939156,0.7828601472134595,9319,2
14,0.7739103704191643,0.8679268903355033,0.7783035401331931,7988,2
15,0.7632548986398486,0.8614991738020129,0.7786540483701367,6657,2
16,0.7629950079993473,0.8572769953051643,0.7704171048019628,5325,2
17,0.7503690476190477,0.8525287931897847,0.7655099894847529,3994,2
18,0.7411728194783394,0.8418482344102178,0.7555205047318612,2662,2
19,0.7280420151502351,0.8407212622088656,0.7488608482299334,1331,2
20,0.7933755806557405,0.8816283611236293,0.8014370837714686,13314,3
21,0.7901853380878056,0.8818227341011518,0.7917981072555205,11982,3
22,0.7909111228914752,0.8818890245047414,0.7946021731510691,10651,3
23,0.7852773919033171,0.8805665843974675,0.7909218366631616,9319,3
24,0.7861807208885793,0.879444166249374,0.7858394672274799,7988,3
25,0.7829320181821269,0.8774222622803064,0.7846126883981773,6657,3
26,0.7797072232943428,0.8773708920187794,0.7783035401331931,5325,3
27,0.7648934837092731,0.8738107160741112,0.771994391868209,3994,3
28,0.7532028946663093,0.8677685950413223,0.7669120224325272,2662,3
29,0.7498183661400692,0.8617580766341096,0.7584998247458815,1331,3
30,0.7963802475325551,0.8476040258374643,0.7984577637574483,13314,4
31,0.7920208270386703,0.8448506092472041,0.7940764107956537,11982,4
32,0.7931636747309131,0.8429255468970049,0.7937259025587101,10651,4
33,0.7878526719790637,0.8430089065350359,0.7919733613739923,9319,4
34,0.7883074394371409,0.8423885828743115,0.7903960743077463,7988,4
35,0.7887912596960008,0.839567372690401,0.7882930248860848,6657,4
36,0.779147899476779,0.8339906103286385,0.7814581142656852,5325,4
37,0.7673972431077695,0.8247371056584877,0.7781282860147214,3994,4
38,0.7535774238598372,0.8189331329827197,0.7674377847879426,2662,4
39,0.7415505054771762,0.8181818181818182,0.7630564318261479,1331,4
40,0.8014871291732348,0.8569926393270242,0.8049421661409043,13314,5
41,0.7984483452403993,0.8553663829076948,0.8012618296529969,11982,5
42,0.7983287880527632,0.8558820768003005,0.8002103049421662,10651,5
43,0.796330333879317,0.8526665951282326,0.8002103049421662,9319,5
44,0.7945674574421033,0.8524036054081122,0.7953031896249562,7988,5
45,0.7950976794908939,0.8524861048520355,0.7909218366631616,6657,5
46,0.7855325276433958,0.8476995305164319,0.7858394672274799,5325,5
47,0.7761604010025063,0.8357536304456685,0.7804065895548545,3994,5
48,0.7595847028452934,0.8298271975957926,0.7765509989484752,2662,5
49,0.7535749486074738,0.8256949661908339,0.7679635471433579,1331,5
50,0.8059190122102298,0.8288267988583446,0.7998597967052226,13314,10
51,0.8022032133065814,0.8255716908696378,0.8012618296529969,11982,10
52,0.800206281660895,0.8268707163646606,0.7967052225727305,10651,10
53,0.7971881846392016,0.823156991093465,0.7960042060988434,9319,10
54,0.797195272285846,0.8234852278417626,0.7963547143357869,7988,10
55,0.7958498972809543,0.8218416704221121,0.7932001402032948,6657,10
56,0.7894781320820483,0.8152112676056338,0.7886435331230284,5325,10
57,0.776405388471178,0.8059589384076115,0.7833859095688749,3994,10
58,0.7595839975172453,0.7903831705484599,0.7807570977917981,2662,10
59,0.7400382979921715,0.7896318557475582,0.7723449001051524,1331,10
60,0.8039670321087229,0.8184617695658705,0.8024886084822993,13314,20
61,0.7978629937858622,0.813970956434652,0.8028391167192429,11982,20
62,0.7981395397839148,0.8145714017463149,0.8000350508236943,10651,20
63,0.7948272664653208,0.808885073505741,0.7961794602173151,9319,20
64,0.795441356833887,0.8115923885828743,0.7958289519803715,7988,20
65,0.7937465539292421,0.807570977917981,0.7947774272695408,6657,20
66,0.7842188548161355,0.8018779342723005,0.7933753943217665,5325,20
67,0.7724010025062656,0.7924386579869804,0.7797055730809674,3994,20
68,0.7610771769950204,0.7821187077385424,0.7798808271994392,2662,20
69,0.7437836163442315,0.7663410969196093,0.7690150718541886,1331,20
70,0.7973557442459415,0.8051674928646537,0.7981072555205048,13314,50
71,0.7934386752455093,0.8015356367885161,0.7963547143357869,11982,50
72,0.7925995447696164,0.8014270960473195,0.7937259025587101,10651,50
73,0.7872082040365924,0.797510462495976,0.7926743778478794,9319,50
74,0.7854268022998674,0.7958187280921382,0.7884682790045566,7988,50
75,0.7847341582443801,0.7907465825446898,0.7830354013319313,6657,50
76,0.7763338170625411,0.7832863849765258,0.7790045566070802,5325,50
77,0.7661459899749372,0.7731597396094141,0.7728706624605678,3994,50
78,0.7475574489695157,0.7618332081141999,0.769540834209604,2662,50
79,0.7227478809383008,0.7377911344853494,0.7520154223624255,1331,50
