,cross_val_acc,training_acc,test_acc,train_size,solver,learning_rate_init,max_iter,momentum,hidden_layer_sizes
0,0.4411039248855137,0.44049008168028003,0.42585034013605444,3428,sgd,0.001,50,0.1,"(13, 13)"
1,0.44746996169012476,0.42778993435448576,0.4095238095238095,2742,sgd,0.001,50,0.1,"(13, 13)"
2,0.3977853807012085,0.37013618677042803,0.3,2056,sgd,0.001,50,0.1,"(13, 13)"
3,0.42228645750384886,0.44566010211524437,0.35714285714285715,1371,sgd,0.001,50,0.1,"(13, 13)"
4,0.36101593448272346,0.42773722627737226,0.2653061224489796,685,sgd,0.001,50,0.1,"(13, 13)"
5,0.36510776233143694,0.397316219369895,0.42653061224489797,3428,sgd,0.001,50,0.1,"(13, 13, 13)"
6,0.4470923065183553,0.44930707512764406,0.3836734693877551,2742,sgd,0.001,50,0.1,"(13, 13, 13)"
7,0.4212278231863783,0.3010700389105058,0.408843537414966,2056,sgd,0.001,50,0.1,"(13, 13, 13)"
8,0.34280706411141193,0.44638949671772427,0.42517006802721086,1371,sgd,0.001,50,0.1,"(13, 13, 13)"
9,0.3962637075077036,0.4467153284671533,0.42448979591836733,685,sgd,0.001,50,0.1,"(13, 13, 13)"
10,0.45509439014423725,0.3920653442240373,0.19047619047619047,3428,sgd,0.001,50,0.1,"(130, 130, 130)"
11,0.4143484970331411,0.45295404814004375,0.4435374149659864,2742,sgd,0.001,50,0.1,"(130, 130, 130)"
12,0.36534526961919284,0.4489299610894942,0.42653061224489797,2056,sgd,0.001,50,0.1,"(130, 130, 130)"
13,0.4515993346428129,0.44784828592268416,0.427891156462585,1371,sgd,0.001,50,0.1,"(130, 130, 130)"
14,0.3017728289348614,0.28905109489051095,0.4238095238095238,685,sgd,0.001,50,0.1,"(130, 130, 130)"
15,0.365365082286221,0.4687864644107351,0.42857142857142855,3428,sgd,0.001,50,0.1,"(130, 130, 130, 130)"
16,0.43247178756831495,0.46790663749088257,0.43741496598639457,2742,sgd,0.001,50,0.1,"(130, 130, 130, 130)"
17,0.428470433050174,0.4464980544747082,0.32108843537414966,2056,sgd,0.001,50,0.1,"(130, 130, 130, 130)"
18,0.4094176355045921,0.3770970094821298,0.42857142857142855,1371,sgd,0.001,50,0.1,"(130, 130, 130, 130)"
19,0.3029223698437109,0.28613138686131384,0.3149659863945578,685,sgd,0.001,50,0.1,"(130, 130, 130, 130)"
20,0.46356415704655357,0.45682613768961494,0.45714285714285713,3428,sgd,0.001,50,0.3,"(13, 13)"
21,0.41782164291566337,0.42778993435448576,0.4340136054421769,2742,sgd,0.001,50,0.3,"(13, 13)"
22,0.42418118202519633,0.4586575875486381,0.42108843537414964,2056,sgd,0.001,50,0.3,"(13, 13)"
